"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*05uor*","Yoane Wissa","BRF","F","871","NT 5","27","@BOU Sat 7:00AM","0","0","76%","120.88","87%","+0.4%"
"*06ex4*","Josko Gvardiol","MCI","D","477","BudsNBec","22","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","79%","73.74","86%","+2.9%"
"*067yz*","Matheus Cunha","WOL","F","769","BudsNBec","24","CRY Sat 7:00AM","0","0","34%","147.22","86%","-0.9%"
"*05l8q*","Cole Palmer","CHE","M","699","NT 5","22","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","16%","247.34","86%","0%"
"*06c6a*","Alfie Doughty","LUT","M","396","NT 5","24","@WHU Sat 7:00AM","0","0","48%","142.34","86%","+0.1%"
"*06exb*","Rasmus Hojlund","MUN","F","509","julian","21","ARS Sun 8:30AM NEW Wed12:00PM","0","0","74%","60.81","85%","-0.3%"
"*068a1*","Mykhailo Mudryk","CHE","M","640","W (Thu)","23","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","100%","57.73","84%","+0.4%"
"*05omu*","R?ben Dias","MCI","D","447","julian","26","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","98%","68.97","84%","+1.3%"
"*06fup*","Jeremy Doku","MCI","F","391","ColeFC","21","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","0%","1026.6","83%","0%"
"*06fv8*","Mohammed Kudus","WHU","M","564","DGPFC","23","LUT Sat 7:00AM","0","0","0%","-","83%","0%"
"*05u7f*","Ibrahima Konate","LIV","D","560","ColeFC","24","@AVL Mon 12:00PM","0","0","94%","105.15","78%","-1.8%"
"*06cmb*","Guglielmo Vicario","TOT","G","846","Pain","27","BUR Sat 7:00AM MCI Tue12:00PM","0","0","38%","144.95","76%","-9.1%"
"*05ogb*","Anthony Elanga","NOT","F","412","BenM01","22","CHE Sat 9:30AM","0","0","42%","145.2","74%","+2.5%"
"*0642l*","Casemiro","MUN","M","336","W (Thu)","32","ARS Sun 8:30AM NEW Wed12:00PM","0","0","99%","67.86","73%","+2.4%"
"*05w91*","Hwang Hee-Chan","WOL","F","518","W (Thu)","28","CRY Sat 7:00AM","0","0","4%","384.42","70%","-2.9%"
"*05udg*","Jos? S?","WOL","G","591","W (Thu)","31","CRY Sat 7:00AM","0","0","59%","132.55","70%","-6.6%"
"*068n8*","Noni Madueke","CHE","F","588","W (Thu)","22","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","76%","120.75","70%","+12.8%"
"*061ve*","Ryan Christie","BOU","M","346","NT 7","29","BRF Sat 7:00AM","0","0","8%","336.08","69%","-0.4%"
"*05r8o*","Jean-Philippe Mateta","CRY","F","599","julian","26","@WOL Sat 7:00AM","0","0","1%","1145.56","69%","-0.9%"
"*061vn*","Rodrigo Muniz","FUL","F","641","BudsNBec","23","MCI Sat 4:30AM","0","0","0%","-","68%","+0.9%"
