"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*02lol*","Harry Kane","TOT","F","1","W (Thu)","30","BUR Sat 7:00AM MCI Tue12:00PM","624","16.42","99%","18.95","18%","+0.1%"
"*061vq*","Erling Haaland","MCI","F","2","BenM01","23","@FUL Sat 4:30AM @TOT Tue12:00PM","582","16.63","100%","1.12","100%","0%"
"*03dx3*","Kieran Trippier","NEW","D","3","NT 5","33","BHA Sat 7:00AM @MUN Wed12:00PM","563.25","14.82","100%","11.57","97%","-0.6%"
"*05gcr*","Bruno Fernandes","MUN","M","4","ColeFC","29","ARS Sun 8:30AM NEW Wed12:00PM","554.5","14.99","100%","3.53","100%","0%"
"*04y92*","Bukayo Saka","ARS","M","5","julian","22","@MUN Sun 8:30AM","515.5","13.57","100%","4.26","100%","0%"
"*02oox*","Kevin De Bruyne","MCI","M","6","NT 5","32","@FUL Sat 4:30AM @TOT Tue12:00PM","507","15.84","100%","5.15","100%","+0.1%"
"*03aqp*","Mohamed Salah","LIV","F","7","DGPFC","31","@AVL Mon 12:00PM","503","13.24","100%","2.85","100%","0%"
"*05r9b*","Martin Odegaard","ARS","M","8","DGPFC","25","@MUN Sun 8:30AM","488.5","13.2","100%","8.52","100%","0%"
"*04e1k*","Solly March","BHA","M","9","W (Thu)","29","@NEW Sat 7:00AM CHE Wed11:45AM","470","14.24","100%","34.16","32%","-0.2%"
"*052h5*","Gabriel Martinelli","ARS","M","10","BudsNBec","22","@MUN Sun 8:30AM","460.5","12.79","100%","12.81","99%","+0.1%"
"*02oq8*","James Ward-Prowse","WHU","M","11","BudsNBec","29","LUT Sat 7:00AM","426","11.21","2%","291.77","85%","0%"
"*03ybi*","Marcus Rashford","MUN","F","12","BudsNBec","26","ARS Sun 8:30AM NEW Wed12:00PM","419","11.97","100%","7.81","94%","-2%"
"*03v6w*","Ivan Toney","BRF","F","13","julian","28","@BOU Sat 7:00AM","414","12.55","62%","132.16","94%","+0.4%"
"*04fk1*","Pascal Gross","BHA","M","14","BudsNBec","32","@NEW Sat 7:00AM CHE Wed11:45AM","413","11.16","100%","36.27","100%","0%"
"*0414o*","James Maddison","TOT","M","15","julian","27","BUR Sat 7:00AM MCI Tue12:00PM","411.5","13.72","100%","15.78","100%","-0.1%"
"*03srg*","Trent Alexander-Arnold","LIV","D","16","NT 7","25","@AVL Mon 12:00PM","402.5","10.88","100%","7.78","100%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","17","Pain","24","CHE Sat 9:30AM","401","10.84","100%","43.31","100%","+0.2%"
"*05ocl*","Ollie Watkins","AVL","F","20","DGPFC","28","LIV Mon 12:00PM","392.5","10.61","100%","19.79","100%","+0.1%"
"*05nt6*","Eberechi Eze","CRY","M","18","NT 7","25","@WOL Sat 7:00AM","392.5","10.33","100%","27.67","100%","-0.1%"
"*05u94*","Michael Olise","CRY","M","19","julian","22","@WOL Sat 7:00AM","392.5","10.61","100%","56.24","98%","+0.1%"
"*05trb*","Bryan Mbeumo","BRF","F","21","ColeFC","24","@BOU Sat 7:00AM","383.5","10.09","100%","40.29","97%","0%"
"*05tqx*","David Raya","ARS","G","22","NT 5","28","@MUN Sun 8:30AM","381","10.03","67%","125.54","92%","+1%"
