"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*05gcr*","Bruno Fernandes","MUN","M","1","ColeFC","29","ARS Sun 8:30AM NEW Wed12:00PM","622.5","16.82","100%","3.53","100%","0%"
"*02lol*","Harry Kane","TOT","F","2","W (Thu)","30","BUR Sat 7:00AM MCI Tue12:00PM","601","17.17","99%","18.95","18%","+0.1%"
"*03v9d*","Son Heung-Min","TOT","F","3","NT 7","31","BUR Sat 7:00AM MCI Tue12:00PM","509","13.76","100%","11.69","100%","0%"
"*03aqp*","Mohamed Salah","LIV","F","4","DGPFC","31","@AVL Mon 12:00PM","477","12.89","100%","2.85","100%","0%"
"*052cd*","Mason Mount","MUN","M","5","W (Thu)","25","ARS Sun 8:30AM NEW Wed12:00PM","453","12.58","100%","30.64","45%","-0.1%"
"*05ocl*","Ollie Watkins","AVL","F","6","DGPFC","28","LIV Mon 12:00PM","441.5","11.93","100%","19.79","100%","+0.1%"
"*02oox*","Kevin De Bruyne","MCI","M","7","NT 5","32","@FUL Sat 4:30AM @TOT Tue12:00PM","430.5","17.22","100%","5.15","100%","+0.1%"
"*02lm7*","Jack Grealish","MCI","M","8","ColeFC","28","@FUL Sat 4:30AM @TOT Tue12:00PM","427.5","16.44","100%","15","89%","+0.3%"
"*02oq8*","James Ward-Prowse","WHU","M","9","BudsNBec","29","LUT Sat 7:00AM","421.5","11.09","2%","291.77","85%","0%"
"*03ybi*","Marcus Rashford","MUN","F","10","BudsNBec","26","ARS Sun 8:30AM NEW Wed12:00PM","417.5","11.28","100%","7.81","94%","-2%"
"*05gcp*","Tomas Soucek","WHU","M","12","W (Thu)","29","LUT Sat 7:00AM","413.5","10.88","59%","136.81","82%","+0.3%"
"*049tq*","Dominic Calvert-Lewin","EVE","F","11","NT 7","27","SHU Sat 7:00AM","413.5","12.53","82%","115.07","79%","+1.8%"
"*03srg*","Trent Alexander-Arnold","LIV","D","13","NT 7","25","@AVL Mon 12:00PM","396.75","11.02","100%","7.78","100%","0%"
"*04spq*","Jack Harrison","EVE","M","14","W (Thu)","27","SHU Sat 7:00AM","395.5","10.99","0%","1101.63","44%","+1.8%"
"*02lz0*","Emiliano Martinez","AVL","G","15","BudsNBec","31","LIV Mon 12:00PM","385.5","10.14","95%","111.54","77%","-5.6%"
"*056iy*","Pedro Neto","WOL","F","16","W (Thu)","24","CRY Sat 7:00AM","381","12.29","55%","136.02","73%","+7.8%"
"*03u2b*","Adama Traore","FUL","F","17","W (Thu)","28","MCI Sat 4:30AM","377","10.19","1%","1100.27","2%","-0.1%"
"*04yo7*","Youri Tielemans","AVL","M","18","W (Thu)","26","LIV Mon 12:00PM","369","9.71","98%","86.03","50%","-4.9%"
"*03gu5*","Andrew Robertson","LIV","D","19","ColeFC","30","@AVL Mon 12:00PM","365.5","9.62","100%","30.96","99%","+0.2%"
"*0570n*","Jo?o Cancelo","MCI","D","20","W (Thu)","29","@FUL Sat 4:30AM @TOT Tue12:00PM","359.5","12.84","60%","131.65","18%","0%"
"*04adp*","Aaron Wan-Bissaka","MUN","D","21","ColeFC","26","ARS Sun 8:30AM NEW Wed12:00PM","347.75","10.23","80%","123.73","57%","-1.3%"
"*04tm0*","Lucas Digne","AVL","D","22","DGPFC","30","LIV Mon 12:00PM","344","11.47","45%","140.46","79%","+1.6%"
"*0427d*","James Tarkowski","EVE","D","23","DGPFC","31","SHU Sat 7:00AM","341.75","9.49","94%","94.48","99%","+0.2%"
"*0372y*","Matt Targett","NEW","D","24","W (Thu)","28","BHA Sat 7:00AM @MUN Wed12:00PM","338.75","8.91","4%","366.79","1%","0%"
"*02oq6*","Luke Shaw","MUN","D","25","W (Thu)","28","ARS Sun 8:30AM NEW Wed12:00PM","330.25","10.32","100%","39.23","39%","-0.1%"
"*04fk1*","Pascal Gross","BHA","M","26","BudsNBec","32","@NEW Sat 7:00AM CHE Wed11:45AM","327.5","9.63","100%","36.27","100%","0%"
"*035n1*","Bertrand Traore","AVL","M","27","W (Thu)","28","LIV Mon 12:00PM","326","9.06","0%","1164.47","0%","0%"
"*05opk*","Vladimir Coufal","WHU","D","28","W (Thu)","31","LUT Sat 7:00AM","325.5","9.57","15%","266.04","59%","-0.8%"
"*02lkp*","Raheem Sterling","CHE","F","29","ColeFC","29","@NOT Sat 9:30AM @BHA Wed11:45AM","325","10.48","100%","57.73","83%","-3.2%"
"*03gu4*","Harry Maguire","MUN","D","30","W (Thu)","31","ARS Sun 8:30AM NEW Wed12:00PM","323.5","9.51","27%","141.19","68%","+2.6%"
"*02m5b*","Chris Wood","NOT","F","31","NT 7","32","CHE Sat 9:30AM","323","9.79","1%","1127.93","60%","+3.5%"
"*03ena*","Aaron Cresswell","WHU","D","32","W (Thu)","34","LUT Sat 7:00AM","320.75","8.91","19%","217.06","8%","0%"
"*0414o*","James Maddison","TOT","M","33","julian","27","BUR Sat 7:00AM MCI Tue12:00PM","316.5","10.21","100%","15.78","100%","-0.1%"
"*05mxc*","Timo Werner","TOT","F","34","NT 7","28","BUR Sat 7:00AM MCI Tue12:00PM","316","9.03","0%","-","42%","-25.6%"
"*04abb*","Phil Foden","MCI","M","35","julian","23","@FUL Sat 4:30AM @TOT Tue12:00PM","311.5","11.12","100%","16.45","100%","0%"
"*04p0d*","Dwight McNeil","EVE","M","36","ColeFC","24","SHU Sat 7:00AM","310.5","8.62","96%","76.27","97%","+0.4%"
"*051k0*","John McGinn","AVL","M","37","DGPFC","29","LIV Mon 12:00PM","306.5","8.28","64%","130.69","91%","0%"
"*04io4*","Richarlison","TOT","F","38","julian","26","BUR Sat 7:00AM MCI Tue12:00PM","304","8.94","98%","80.23","92%","+0.3%"
"*044ei*","Nick Pope","NEW","G","39","W (Thu)","32","BHA Sat 7:00AM @MUN Wed12:00PM","302","9.44","99%","90.17","45%","+4.2%"
"*0520r*","Leandro Trossard","ARS","M","40","BenM01","29","@MUN Sun 8:30AM","301","8.6","100%","57.04","96%","+0.1%"
"*05nt6*","Eberechi Eze","CRY","M","41","NT 7","25","@WOL Sat 7:00AM","296.5","8.72","100%","27.67","100%","-0.1%"
"*03v6t*","Ben Chilwell","CHE","D","42","W (Thu)","27","@NOT Sat 9:30AM @BHA Wed11:45AM","294.25","10.9","100%","41.55","55%","-5.6%"
"*03vll*","Michail Antonio","WHU","F","43","W (Thu)","34","LUT Sat 7:00AM","291","11.19","41%","144.13","46%","+2%"
"*04y92*","Bukayo Saka","ARS","M","44","julian","22","@MUN Sun 8:30AM","289.5","9.05","100%","4.26","100%","0%"
"*02lp7*","Andros Townsend","LUT","M","45","W (Thu)","32","@WHU Sat 7:00AM","286.5","8.43","0%","-","4%","-0.2%"
"*0327r*","Michael Keane","EVE","D","46","W (Thu)","31","SHU Sat 7:00AM","285.5","8.16","48%","141.46","17%","-0.1%"
"*02xtd*","Sam Johnstone","CRY","G","47","W (Thu)","31","@WOL Sat 7:00AM","284.5","7.69","12%","287.76","11%","-0.1%"
"*051k7*","Reece James","CHE","D","48","W (Thu)","24","@NOT Sat 9:30AM @BHA Wed11:45AM","284.25","8.88","100%","25.78","53%","+1.7%"
"*051lc*","Pablo Fornals","WHU","M","49","W (Thu)","28","LUT Sat 7:00AM","283","8.58","3%","387.84","1%","0%"
"*046c5*","Jarrod Bowen","WHU","M","51","Pain","27","LUT Sat 7:00AM","281.5","7.41","100%","32.51","100%","+0.1%"
"*04abn*","Harvey Barnes","NEW","M","50","W (Thu)","26","BHA Sat 7:00AM @MUN Wed12:00PM","281.5","11.26","98%","58.63","72%","+2.1%"
"*03dxq*","Danny Ings","WHU","F","52","W (Thu)","31","LUT Sat 7:00AM","281.5","9.71","25%","155.52","6%","0%"
"*03rec*","Tyrone Mings","AVL","D","53","W (Thu)","31","LIV Mon 12:00PM","277.5","7.71","61%","131.87","13%","-0.1%"
